LA Name,School Name,Address 1,Address 2,Address 3,Post code,Phone
 Falkirk , St Bernadette's RC Primary School , Edward Avenue , Stenhousemuir , LARBERT , FK5 4XR , 01324 503400 
 Highland , Ben Wyvis Primary School , Leanaig Road , Conon Bridge , -   , IV7 8BE , 01349 861867 
 Eilean Siar , Sgoil an Taobh Siar , Barvas , Isle of Lewis , -   , HS2 0RA , 01851 701602 
 Inverclyde , Whinhill Primary School , Drumfrochar Road , Greenock , -   , PA15 4EQ , 01475 715749 
 Dundee City , Camperdown Primary School , Dunholm Road , Dundee , -   , DD2 4NY , 01382 436686 
 Glasgow City , Highpark Primary School , 100 Bilsland Drive , -   , GLASGOW , G20 9NY , 0141 946 7073 
 Edinburgh City , Bun-sgoil Taobh na Pairce (Parkside Primary) , 139b Bonnington Road , Edinburgh , -   , EH6 5NQ , 0131 5535856
 South Lanarkshire , Park View Primary School , New Road , Halfway , CAMBUSLANG , G72 7PU , 0141 6411677 
 Aberdeen City , Brimmond School , Netherhills Place , Bucksburn , ABERDEEN , AB21 9DF , 01224 719930 
 Clackmannanshire , Redwell primary school , Stirling Road , Alloa , -   , FK10 2BS , 01259 452441 
 North Ayrshire , Elderbank Primary School , St Kilda Bank , Broomlands , IRVINE , KA11 1LA , 01294 218632 
 Highland , Lundavra Primary School , Lundavra Road , Fort William , -   , PH33 6JN , 01397 707362 
 Glasgow City , Glendale Gaelic Primary School , 2 Kenmuir Street , -   , GLASGOW , G41 1PH , 0141 429 3183 
 Highland , St Columba's RC Primary School , Glenkingie Street , Caol , FORT WILLIAM , PH33 7DP , 01397 707362 
 Midlothian , Bilston Primary School , Park Avenue , -   , BILSTON , EH25 9SD , 0131 444 9021 
 Midlothian , Gore Glen Primary School , Whitehouse Way , -   , GOREBRIDGE , EH23 4FP , 0131 444 9026 
 Highland , Bun-sgoil Ghàidhlig Loch Abar primary , Ardgour Road , Caol , FORT WILLIAM , PH33 7JE , 01397 707362 
 West Lothian , Southdale Primary School , Southdale Way , -   , ARMADALE , EH48 3PR , 1506
 North Lanarkshire , Orchard Primary , Castlehill Road , -   , WISHAW , ML2 0LS , 01698 274984 
 Highland , Newton Park Primary , Seaforth Avenue , -   , WICK , KW1 5ND , 01955 60 
 Highland , Noss primary school , Girnigoe Street , Wick , -   , KW1 4DT , 01955 609990 
 East Dunbartonshire , Lenzie Meadow Primary School , Myrtle Avenue , LENZIE , GLASGOW , G66 4HW , 0141 955 2366 
 Eilean Siar , Sgoil Uibhish a Tuath , Bayhead , Isle of North Uist , -   , HS6 5DX , 01870 604 884 
 Aberdeenshire , Hillside School , Newlands Drive , Portlethen , ABERDEENSHIRE , AB12 4LX , 01224 784621 
 Aberdeenshire , Midmill School , Carnie Road , Kintore , INVERURIE , AB51 0QH , 01467 536888 
 West Dunbartonshire , Lennox Primary School , Redburn , Bonhill , ALEXANDRIA , G83 9BP , 01389 773737 
 Moray , Linkwood Primary School , Institution Road , -   , ELGIN , IV30 1RP , 01343 547782 
 Highland , Bower Primary School , Bowermadden , By Wick , CAITHNESS , KW1 4TT , 01955 641225 
 Highland , Canisbay Primary School , Canisbay , Wick , -   , KW1 4YH , 01955 611337 
 Highland , Castletown Primary School , Castletown , Thurso , -   , KW14 8UA , 01847 821256 
 Highland , Crossroads Primary School , Dunnet , Thurso , -   , KW14 8XP , 01847 851629 
 Highland , Dunbeath Primary School , Dunbeath , -   , -   , KW6 6ED , 01593 731286 
 Highland , Halkirk Primary School , Halkirk , -   , -   , KW12 6YN , 01847 831246 
 Highland , Keiss Primary School , Keiss , Wick , CAITHNESS , KW1 4XB , 01955 631269 
 Highland , Lybster Primary School , Lybster , Wick , -   , KW3 6BJ , 01593 721224 
 Highland , Pennyland Primary School , Trostan Road , Thurso , -   , KW14 7NY , 01847 892661 
 Highland , Reay Primary School , Reay , Thurso , -   , KW14 7RE , 01847 811206 
 Highland , Thrumster Primary School , Thrumster , Wick , -   , KW1 5TR , 01955 651244 
 Highland , Miller Academy Primary School , Princes Street , Thurso , -   , KW14 7DH , 01847 892815 
 Highland , Mount Pleasant Primary School , Castletown Road , Thurso , -   , KW14 8HL , 01847 893419 
 Highland , Watten Primary School , Watten , by Wick , -   , KW1 5YJ , 01955 621287 
 Highland , Milton of Leys Primary School , Milton of Leys , Inverness , -   , IV2 6HF , 01463 773020 
 Highland , Strathdearn Primary School , Tomatin , by Inverness , -   , IV13 7YN , 01463 266197 
 Highland , Bonar Bridge Primary School , Ardgay , Sutherland , -   , IV24 3AP , 01863 766221 
 Highland , Durness Primary School , Durness , by Lairg , -   , IV27 4PN , 01971 511237 
 Highland , Golspie Primary School , Golspie , Sutherland , -   , KW10 6RW , 01408 633520 
 Highland , Kinlochbervie Primary School , Manse Road , Kinlochbervie , LAIRG , IV27 4RA , 01971 521223 
 Highland , Rogart Primary School , Rogart , -   , -   , IV28 3XF , 01408 641335 
 Highland , Rosehall Primary School , Altas , By Lairg , -   , IV27 4EU , 01549 441214 
 Highland , Scourie Primary School , Scourie , By Lairg , -   , IV27 4TG , 01971 502282 
 Highland , Lochinver Primary School , Lochinver , By Lairg , -   , IV27 4LH , 01571 844235 
 Highland , Lairg Primary School , Lairg , -   , -   , IV27 4DD , 01549 402345 
 Highland , Altnaharra Primary School , By Lairg , -   , -   , IV27 4UE , 01549 411244 
 Highland , Melvich Primary School , By Thurso , -   , -   , KW14 7YL , 01641 531200 
 Highland , Farr Primary School - Bettyhill , Bettyhill , By Thurso , -   , KW14 7SS , 01641 521217 
 Highland , Tongue Primary School , By Lairg , Sutherland , -   , IV27 4XL , 01847 611208 
 Highland , Dornoch Primary , Evelix Road , Dornoch , SUTHERLAND , IV25 3HR , 01862 810180 
 Highland , Brora Primary School , Johnstone Place , Brora , SUTHERLAND , KW9 6PF , 01408 621441 
 Highland , Helmsdale Primary School , Helmsdale , Sutherland , -   , KW8 6JW , 01431 821244 
 Highland , Strathpeffer Primary School , Strathpeffer , -   , -   , IV14 9AG , 01997 421824 
 Highland , Gledfield Primary School , Ardgay , -   , -   , IV24 3BN , 01863 766580 
 Highland , Achiltibuie Primary School , Achiltibuie , Ullapool , -   , IV26 2YG , 01854 622267 
 Highland , Applecross Primary School , Applecross , Strathcarron , ROSS-SHIRE , IV54 8LU , 01520 744325 
 Highland , Ardross Primary School , Ardross , Alness , -   , IV17 0XW , 01349 882345 
 Highland , Avoch Primary School , Avoch , -   , -   , IV9 8PS , 01381 620369 
